"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"V4mis2";"SILVA (only NR);Unclassified;";"0.0";"0";"0";"0";"0";"0";"0";"457183";"391207"
"V4mis2";"SILVA (only NR);Archaea;";"95.9";"14.9";"20197";"19983";"19158";"825";"214";"437200";"372049"
"V4mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;";"89.8";"14.4";"319";"313";"281";"32";"6";"456870";"390926"
"V4mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;";"93.5";"14.4";"161";"155";"145";"10";"6";"457028";"391062"
"V4mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;";"93.5";"14.4";"161";"155";"145";"10";"6";"457028";"391062"
"V4mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;";"87.5";"14.4";"16";"16";"14";"2";"0";"457167";"391193"
"V4mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);";"85.8";"14.4";"155";"155";"133";"22";"0";"457028";"391074"
"V4mis2";"SILVA (only NR);Archaea;Altiarchaeota;";"100.0";"14.4";"41";"40";"40";"0";"1";"457143";"391167"
"V4mis2";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;";"100.0";"14.4";"41";"40";"40";"0";"1";"457143";"391167"
"V4mis2";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;";"100.0";"14.4";"41";"40";"40";"0";"1";"457143";"391167"
"V4mis2";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;";"100.0";"14.4";"41";"40";"40";"0";"1";"457143";"391167"
"V4mis2";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;";"100.0";"14.4";"41";"40";"40";"0";"1";"457143";"391167"
"V4mis2";"SILVA (only NR);Archaea;Asgardarchaeota;";"89.9";"14.4";"670";"661";"594";"67";"9";"456522";"390613"
"V4mis2";"SILVA (only NR);Archaea;Asgardarchaeota;Heimdallarchaeia;";"95.3";"14.4";"45";"43";"41";"2";"2";"457140";"391166"
"V4mis2";"SILVA (only NR);Archaea;Asgardarchaeota;Lokiarchaeia;";"88.9";"14.4";"527";"524";"466";"58";"3";"456659";"390741"
"V4mis2";"SILVA (only NR);Archaea;Asgardarchaeota;Odinarchaeia;";"93.4";"14.4";"95";"91";"85";"6";"4";"457092";"391122"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;";"96.9";"14.6";"7625";"7552";"7321";"231";"73";"449631";"383886"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Bathyarchaeia;";"98.0";"14.5";"3641";"3604";"3532";"72";"37";"453579";"387675"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;";"97.1";"14.4";"34";"34";"33";"1";"0";"457149";"391174"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;";"97.1";"14.4";"34";"34";"33";"1";"0";"457149";"391174"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;";"97.1";"14.4";"34";"34";"33";"1";"0";"457149";"391174"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;Candidatus Methanomethylicus;";"96.4";"14.4";"28";"28";"27";"1";"0";"457155";"391180"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;";"95.8";"14.5";"3259";"3225";"3088";"137";"34";"453958";"388119"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;";"97.6";"14.4";"170";"170";"166";"4";"0";"457013";"391041"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;";"98.3";"14.4";"58";"58";"57";"1";"0";"457125";"391150"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;Candidatus Caldiarchaeum;";"98.3";"14.4";"58";"58";"57";"1";"0";"457125";"391150"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Geothermarchaeaceae;";"97.0";"14.4";"66";"66";"64";"2";"0";"457117";"391143"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Terrestrial Hot Spring Gp(THSCG);";"97.8";"14.4";"46";"46";"45";"1";"0";"457137";"391162"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Group 1.1c;";"97.4";"14.4";"233";"231";"225";"6";"2";"456952";"390982"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;";"98.4";"14.4";"131";"128";"126";"2";"3";"457055";"391081"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;";"97.3";"14.4";"37";"37";"36";"1";"0";"457146";"391171"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;";"97.3";"14.4";"37";"37";"36";"1";"0";"457146";"391171"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;Candidatus Nitrosocaldus;";"94.4";"14.4";"18";"18";"17";"1";"0";"457165";"391190"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;uncultured;";"100.0";"14.4";"19";"19";"19";"0";"0";"457164";"391188"
