"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"V5v7mis2";"SILVA (only NR);Unclassified;";"0.0";"0";"0";"0";"0";"0";"0";"448702";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;";"0.0";"0";"20197";"11861";"0";"11861";"8336";"436841";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;";"0.0";"0";"319";"151";"0";"151";"168";"448551";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;";"0.0";"0";"161";"60";"0";"60";"101";"448642";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;";"0.0";"0";"161";"60";"0";"60";"101";"448642";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;";"0.0";"0";"16";"8";"0";"8";"8";"448694";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);";"0.0";"0";"155";"89";"0";"89";"66";"448613";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Altiarchaeota;";"0.0";"0";"41";"30";"0";"30";"11";"448672";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;";"0.0";"0";"41";"30";"0";"30";"11";"448672";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;";"0.0";"0";"41";"30";"0";"30";"11";"448672";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;";"0.0";"0";"41";"30";"0";"30";"11";"448672";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;";"0.0";"0";"41";"30";"0";"30";"11";"448672";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Asgardarchaeota;";"0.0";"0";"670";"425";"0";"425";"245";"448277";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Asgardarchaeota;Heimdallarchaeia;";"0.0";"0";"45";"41";"0";"41";"4";"448661";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Asgardarchaeota;Lokiarchaeia;";"0.0";"0";"527";"328";"0";"328";"199";"448374";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Asgardarchaeota;Odinarchaeia;";"0.0";"0";"95";"54";"0";"54";"41";"448648";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Crenarchaeota;";"0.0";"0";"7625";"3232";"0";"3232";"4393";"445470";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Crenarchaeota;Bathyarchaeia;";"0.0";"0";"3641";"1030";"0";"1030";"2611";"447672";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;";"0.0";"0";"34";"14";"0";"14";"20";"448688";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;";"0.0";"0";"34";"14";"0";"14";"20";"448688";"345306"
"V5v7mis2";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;";"0.0";"0";"34";"14";"0";"14";"20";"448688";"345306"
